#,WORDS,MEANINGS,SYNONYMS,ANTONYMS
203,reproach,expression of disapproval,chide| reprimand| admonish| chastise| berate| castigate| lambaste| censure| carpet| objurgate| reprobate,credit| honor
204,robust,vigorous/ able to withstand adverse conditions/ forceful,stark| brawny| durable| resilient| hunky,ailing| diseased| ill| sick| unfit| unhealthy
205,salubrious,"healthy, pleasant",wholesome| salutary| luxurious| grand,insalubrious| noxious| unhealthful| unhealthy| unwholesome
206,sanction,official permission/ a threatened penalty for disobeying rule,deterrent| embargo| boycott| acquiescence| approbation| accreditation| ratification,interdiction| prohibition| proscription
207,sedulous,showing dedication and diligence,meticulous| assiduous| industrious| laborious| punctilious| scrupulous| painstaking| pedantic,idle| inactive| unbusy| unemployed| unoccupied
208,soporific,tediously boring or monotonous,somnolent| calmative| tranquillizing| opiate| somnific,stimulant
209,stern,"serious, strict and severe",stringent| exacting| authoritarian| draconian| grim| austere,clement| forbearing| gentle| indulgent| lax| lenient
210,tendentious,intending to promote a point of view (controversial one),N/A,disinclination| aversion| repulsion| contravention| deviation| divergency| 
211,accentuate,make more noticeable or prominent,accent| emphasize| feature| foreground| highlight| illuminate,de-emphasize| play down
212,conjectural,"based on or involving conjecture, speculative",putative| abstract| postulated| inferred| presupposed| tentative| groundless,actual| factual| real
213,convivial,"friendly, lively and enjoyable",genial| affable| amiable| congenial| gregariousy| jovial| couthy,antisocial| insociable| introverted| nongregarious| reclusive| unsociable
214,decadent,"characterized by a state of moral or cultural decline, person who is luxuriously self-indulgent",dissolute| dissipated| depraved| louche| rakish| wanton| profligate| sybaritic| voluptuary| epicurean,pure| uncorrupt| uncorrupted
215,egregious,"outstandingly bad, shocking",ghastly| horrendous| abominable| abhorrent| harrowing| dire| flagrant| blatant,ordinary| commonplace| every| day| mediocre 
216,evanescent,"soon passing out of sight, memory or existence, quickly fading or disappearing",dwindling| fugitive| fugacious| ephemeraly| transient,ceaseless| dateless| deathless| endless| enduring| eternal
217,flamboyant,"tending to attract attention because of confidence, stylishness/ bright, colorful and noticeable",ostentatious| exuberant| buoyantt| vivacious| rakish| lurid,inconspicuous| unemphatic| unflamboyant| unnoticeable| unobtrusive| unremarkable
218,forestall,prevent or obstruct by taking advanced action,thwart| avert| preclude| obviate| hinder| impede,unpleasant| unacceptable| disagreeable| ungrateful| disobliged 
219,gainsay,"deny, contradict, speak against or oppose",repudiate| debunk| refute| rebut| controvert,acknowledge| admit| allow| avow| concede| confirm
220,galvanize,shock or excite someone into taking action,invigorate| vitalize| exhilarate| dynamize,unpleasant| unacceptable| disagreeable| ungrateful| disobliged 
221,indiscriminate,done at random or without careful judgment,haphazard| heterogeneous| motley| chaotic,homogeneous
222,innocuous,not harmful or offensive,innoxious| insipid| anodyne| commonplace,adverse| bad| baleful| baneful| damaging| dangerous
223,momentary,"lasting very short time, brief",transient| transitory| ephemeral| evanescent| fugitive| fugacious,ceaseless| dateless| deathless| endless| enduring| eternal
224,mundane,"lacking interest or excitement, dull",humdrum| prosaic| quotidian| commonplace| pedestrian| banal| hackneyed| trite| hacky,heavenly| nontemporal| unearthly| unworldly
225,nettlesome,causing annoyance or difficulty,abrasive| aggravating| annoying| bothersome| carking| chafing,N/A
226,nullify,"make null and void, invalidate",rescind| abrogate| veto| obliterate,confirm| perpetuate| reenact| stabilitate| establish| cherish 
227,obviate,"remove, avoid or prevent",preclude| avert,hinder| reverse 
228,omnipresent,"widespread, constantly encountered",ubiquitous| rife| prevalent| common,powers| inefficient 
229,oust,drive out or expel from a position or place,depose| topple| purge| banish| deport| exile,crown| enthrone| throne
230,palpable,"so intense as to seem, almost tangible/ plain to see or comprehend, able to be touched or felt",discernible| observable| tangible| evident| apparent| conspicuous,impalpable| imperceptible| inappreciable| indistinguishable| insensible| undetectable
231,perfidy,state of being deceitful and untrustworthy,perfidiousness| infidelity| falsity,allegiance| constancy| devotedness| devotion| faith| faithfulness
232,profuse,abundant,copious| prolific| extravagant| effusive| inordinate,dribbling| trickling
233,pugnacious,"eager to argue, quarrel or fight",belligerent| bellicose| contentious| defiant| truculent| irascible,nonaggressive| nonbelligerent| pacific| peaceable| peaceful| unbelligerent
234,sagacious,"wise or shrewd, intelligent",discerning| canny| acute| astute| shrewd| prudentl| percipient| sapient,unperceptive| unwise
235,sanguine,"optimistic, positive/blood-red",erubescent| rubescent| buoyant,ashen| ashy| doughy| livid| lurid| mealy
236,scant,insufficient or barely sufficient,meagre| deficient| exiguous,abundant| ample| bountiful| copious| generous| liberal
237,skulduggery,dishonest behavior or activities/ trickery,unscrupulousness| chicanery| machinations| hanky-panky,penetrate| enter| interpenetrate 
238,trivial,of little value or importance,frivolous| trifling| fiddling| paltry| nugatory| flimsy,big| consequential| eventful| important| major| material
239,utilitarian,designed to be useful or practical rather,practical| functional| pragmatic| workaday| robust,unsuitable| impracticable| inapplicable| nonpractical| unusable| unworkable
240,vapid,offering nothing that is stimulating or challenging/ bland,insipid| colourless| feeble| zestless| trite,amazing| astonishing| astounding| awesome| eye-opening| fabulous
241,boorish,"rough and bad-mannered, coarse",coarse| impolite| churlish| barbarous| philistine,unbookish| unstudious| inerudite| unlearned| ignorant| uneducated 
242,brook,a small stream,tolerate| abide| countenance,collectedly| concentratively| sparingly| reservedly| locally| partially| 
243,circumspect,"wary, cautious",wary| heedful| vigilant| prudent| canny,careless| heedless| incautious| unguarded| unmindful| unsafe
244,comity,an association of nations for their mutual benefit/ considerate behavior towards others,chime| compatibility| concord| harmony| peace,conflict| discord| dissension| variance
245,commensurate,"corresponding in size or degree, in proportion",corresponding| correspondent| commensurable,disproportionate
246,cordial,warm and friendly,genial| affable| amiable| acute| fervent| fervid| ardent| profound| perfervid,antagonistic| hostile| unfriendly
247,deleterious,causing harm,inimical| adverse| pernicious| ruinous,anodyne| benign| harmless| hurtless| innocent| innocuous
248,dichotomy,a division or contrast between two things that are or are represented as being opposed or entirely ,gulf| chasm| polarity| antagonism| contrariety,monologue| oration| soliloquy| apostrophe 
249,edify,instruct or improve (someone) morally or intellectually,inculcate| indoctrinate| elevate,misguide| mislead| misinform 
250,elicit,evoke or draw out (a reaction answer) from someone,induce| prompt| engender| kindle| extort,insert| implant| introduce| inoculate| insinuate| infuse| 
251,erudite,having or showing great knowledge or learning,lettered| sagacious| donnish| cerebral| pedantic| esoteric| recondite| sapient,benighted| dark| ignorant| illiterate| uneducated| unlearned
252,fecund,highly fertile,fertile| fruitful| prolific| fructuous,barren| dead| infertile| sterile| unfertile| unfruitful
253,feeble,lacking physical strength/ lacking strength of character/ failing to convince or impress,puny| enfeebled| enervated| tottery| etiolated| craven| implausible| inept| paltry| futile,mighty| powerful| rugged| stalwart| stout| strong
254,felicitous,well chosen or suited to the circumstances/ pleasing,apposite| pertinent| germane| congruous| lucky,disagreeable| pleasureless| unpalatable| unpleasant| unwelcome
255,forbear,refrain from doing something,abstain| desist| eschew,bow (to)| give in (to)| submit (to)| succumb (to)| surrender (to)| yield (to)
256,haphazard,lacking any obvious principle of organization,indiscriminate| chaotic| arbitrary| slapdash| slipshod,methodical| nonrandom| orderly| organized| regular| systematic
257,hodgepodge,a confused mixture,assortment| ragbag| melange,nuisance| horror| aversion| bugbear| scarecrow| incubus 
258,impede,hinder,obstruct| hamper| thwart| balk| cumber,aid| assist| facilitate| help
259,impetuous,acting or done quickly and without thought or care,heedless| imprudent| spontaneous| impromptu| precipitate,careful| cautious| heedful| prudent| unadventurous| diffident
260,irascible,having or showing a tendency to be easily agreed,waspish| peevish| captious| fractious| iracund,whole| mass 
261,mercenary,making money at the expense of ethics/ a professional soldier hired to serve in a foreign army,avaricious| covetous| rapacious| venal| materialistic,liberal| generous| disinterested| profuse| prodigal 
262,meticulous,very careful and precious,conscientious| scrupulous| punctilious| painstaking| fastidious| pedantic| laborious,careless
263,mordant,"(humor) having or showing a sharp or critical quality, biting",trenchant| acerbic| sardonic| scathing| pungent| incisive| polemic| virulent| vitriolic| waspish,wholesome| healthy| sound 
264,outstrip,move faster and overtake/ exceed,overshadow| eclipse,follow| succeed 
265,precarious,not securely held or in position; dangerously likely to fall or collapse/ uncertain,perilous| dubious| dodgy,advantageous| beneficial| good| ultrasafe| harmless| innocent
266,quirky,having or characterized by peculiar or unexpected traits or aspects,quirkyeccentric| idiosyncratic| peculiar| zany| kinky,rouse| excite| disturb| agitate| stir| urge| 
267,repudiate,refuse to accept/ deny the truth or validity,abjure| recant| gainsay| controvert| refute| forsake,acknowledge| admit| allow| avow| concede| confirm
268,tact,skill and sensitivity in dealing with others or with difficult issues,prudence| decorum| savvy| perception| subtlety,clumsiness| insensitivity| tactlessness
269,trifling,unimportant or trivial,trivial| petty| incidental| frivolous| superficial| piddling| exiguous,big| consequential| eventful| important| major| material
270,turbulent,"characterized by conflict, disorder/ not stable",tempestuous| stormy| unstable| unsettled| tumultuous| chaotic| anarchic| agitated| boisterous,nonviolent| peaceable| peaceful
271,acumen,the ability to make good judgments and take quick decisions,shrewdness| acuity| canniness| discernment| sagacity| perspicacity| ingenuity| savvy,bluntness| obtuseness| stupidity| dulness| indiscernment| hebetude 
272,antithesis,contrast or opposition between two things,contrast| opposite| converse| reverse,identity| sameness| convertibility| coincidence| coalescence 
273,ascribe,"regard text, quotation or work/ regard a quality as belonging to",attribute| accredit| impute,deny| refuse| exclude| dissociate| disconnect| dissever 
274,befuddled,unable to think clearly,addle| addled| addlepated| bedeviled| befogged| bemused,clearheaded
275,eschew,deliberately avoid using; abstain from,shun| abjure| relinquish| gainsay| repudiate| abnegate| abdicate| forsake,N/A
276,esoteric,likely to be understood by only a small number of people/ abstruse/ arcane/ obscure,abstruse| arcane| recondite| abstract| perplexing| enigmatic| inscrutable| unfathomable| involuted,shallow| superficial
277,evasive,tending to avoid commitment or self-revelation,prevaricating| elusive| ambiguous| equivocal| vague| enigmatic| perplexing| gnomic,answer| counterargument| grappling 
278,exculpate,show or declare that someone is not guilty of wrongdoing,absolve| acquit| clear| exonerate| vindicate,criminate| incriminate
279,expedite,make (an action) happen sooner or be accomplished more quickly,hasten| precipitatee| facilitate| stimulate,delay| encumber| fetter| hamper| hinder| hobble
280,fastidious,very attentive and concerned about accuracy and detail,scrupulous| punctilious| painstaking| meticulous| assiduous| sedulous| finicky| pedantic| exacting,undemanding| unfastidious| unfussy
281,feign,"pretend to be affected by (a feeling, state or injury)",masquerade| malinger| ostensible| avowed| phoney,insensibility| callousness| imperturbability| inexcitablety| coldness| insensateness 
282,furtive,secretive/ suggestive of guilty nervousness,surreptitious| wily| clandestine| covert| skulking,open| overt| public
283,hamper,basket/ hinder,basket| hinder| impede| inhibit| balk| thwart| foil,aid| assist| facilitate| help
284,indispensable,absolutely necessary,vital| imperative| obligatory| acute| paramount,dispensable| inessential| needless| nonessential| unessential| unnecessary
285,lament,a passionate expression of grief or sorrow,wail| moaning| weeping| complaint| jeremiad,delight| exult (in)| glory (in)| joy| rejoice (in)
286,myopic,short-sighted,insular| parochial| provincial,farsighted| hypermetropic| hyperopic
287,nonchalant,calm and relaxed/ not displaying anxiety,airy| dispassionate| detached| apathetic| insouciant,concerned| interested
288,partial,incomplete/ biased/ having a liking for,fragmentary| prejudiced| partisan| slanted| skewed| coloured| jaundiced| inequitable,disinterested| equal| equitable| evenhanded| fair| impartial
289,pensive,engaged in serious thought,contemplative| cogitative| ruminative| wistful| melancholy| ruminant,unreflective
290,portend,be a sign or warning that something calamitous is likely to happen,presage| augur| foreshadow| foretell| herald| harbinger,describe| narrate| recite| recount| relate| report
291,provincial,concerning a province of a country/religions regarded as narrow-minded,parochial| suburban| insular| limited| localist| bigoted| prejudiced| intolerant| jerkwater,broad-minded| catholic| cosmopolitan| liberal| open| open-minded
292,rudimentary,limited to basic principles/ relating to immature form,primitive| vestigial| fundamental| abortive| obsolete,advanced| developed| evolved| high| higher| late
293,salutary,producing good efforts/ beneficial,salubrious| profitable| practical,bad| disadvantageous| unfavorable| unfriendly| unhelpful| unprofitable
294,sever,"divide by cutting or slicing, suddenly and forcibly/ put to an end/ break off",amputate| sunder| terminate| cleave,join| link| unify| unite
295,slight,small in degree/ inconsiderate/ insult by treating without proper respect,scant| minuscule| exiguous| superficial| trifling| trivial,mighty| powerful| rugged| stalwart| stout| strong
296,somnolent,"sleepy, drowsy",languid| lethargic| enervated| torpid| oscitant| tranquil| isolated,alert| awake| conscious| wakeful| wide-awake
297,stoic,a person who can endure pain without complaining,forbearing| long-suffering| patient| tolerant| uncomplaining,complaining| fed up| impatient| kvetching| kvetchy| protesting
298,supersede,take the place of other/ supplant,supplant| oust| override| succeed,confirm| perpetuate| continue| introduce| supply 
299,tout,attempt to sell/ attempt to persuade people of the merits of/ informer,endorse| urge| flaunt| advertise| publicize,knock| pan| slam
300,wane,"decrease in vigor or extent, become weaker",evanesce| remit| ebb| atrophy| attenuate| abate| evaporate,accumulate| balloon| build| burgeon| enlarge| escalate
301,abhor,regard with disgust and hatred,abominate| execrate| disdain| have an aversion to| disrelish,love
302,boisterous,"noisy, energetic and cheerful/(of weather) stormy",exuberant| frisky| ebullient| tumultuous| clamorous| clangorous| animated,orderly
303,chivalrous,courteous and gallant especially towards women,bold| gallant| urbane| intrepid,base| debased| degenerate| degraded| ignoble| low
304,churlish,rude in a mean-spirited and surly way,boorish| loutish| uncharitable| surly| sullen,liberal| bountiful| hospitable neighborly| sociable 
305,clandestine,kept secret or done secretively,covert| furtive| surreptitious,open| overt| public
306,complacent,showing smug or uncritical satisfaction with oneself or one's achievements/ self-satisfied,smug| gloating| triumphant| gratified| lax| wisenheimer,concerned| interested
307,cumbersome,"large or heavy and therefore difficult to carry or use/ unwieldy/ complicated, inefficient",complex| inefficient| wasteful| slow| lumbersome,handy
308,debilitating,"make someone weak and infirm/ hinder, delay",enfeeble| enervate| prostrate| torpefy,absorbing| engaging| engrossing| gripping| interesting| intriguing
309,deliberate,done consciously and intentionally,conscious| wilful| wanton| aforethought| ponderous| systematic| painstaking| meticulous,casual| unadvised| uncalculated| unconsidered| unstudied
310,droll,curious or unusual in a way that provokes dry amusement/ funny/ comic/ amusing,zany| quirky| eccentric| ludicrous| jocular| facetious| whimsical,humorless| lame| unamusing| uncomic| unfunny| unhumorous
311,eccentric,(of a person) unconventional and slightly strange,aberrant| anomalous| idiosyncratic| quirky| capricious| whimsical| avant garde,regular| ordinary| customary| normal| common| usual| 
312,fractious,"irritable and quarrelsome/ difficult to control, unruly",peevish| pettish| irascible| waspish| ornery| wayward,affable| amiable| amicable| benevolent| cordial| easygoing
313,limpid,completely clear and transparent/ accessible or melodious,lucid| intelligible| perceptible| coherent| luminous| pellucid,cloudy| opaque
314,mawkish,sentimental in an exaggerated or false way,chocolate-box| cloying| corny| drippy| fruity| gooey,unsentimental
315,obeisance,"deferential respect, bow or curtsy",veneration| deference| reverence| salaam,disrespect| impudence| insolence| rudeness| noncooperation| recusancy
316,ostentatious,characterized by pretentious or showy display; designed to impress,pretentious| conspicuous| obtrusive| flamboyant| gaudy| extravagant,conservative| quiet| understated| unflamboyant| unflashy
317,panacea,a solution or remedy for all difficulties or diseases,nostrum| elixir,harden| starve| inure| stint| discipline 
318,perfunctory,"carried out without real interest, feeling/ desultory",cursory| desultory| superficial| sketchy| mechanical/automatic,concerned| interested
319,perilous,fall of danger or risk,treacherous| precarious| dicey| gnarly| parlous,harmless| innocent| innocuous| nonhazardous| nonthreatening| safe
320,pervasive,(unwelcome influence) spreading widely throughout an area or a group of people,prevalent| penetrating| ubiquitous| omnipresent| pandemic| insidious,rare| strange| unknown| unusual| distinctive| especial
321,preclude,prevent from happening; make impossible,impede| inhibit| forbid,admit| promote| further| advance 
322,predilection,a preference or special liking for something/ bias in favor,penchant| proclivity| proneness| affinity,prejudice| aversion| indisposition| antipathy| disinclination| apathy 
323,rapacious,aggressively greedy or grasping,avaricious| covetous| mercenary| insatiable| voracious| extortionate,bountiful| liberal| contented| frugal 
324,relish,great enjoyment/ pleasurable anticipation,rapture| contentment| gratification| titillation| zest,aversion| disfavor| disgust| dislike| distaste| hatred
325,satirical,containing or using satire/ mocking another's weakness,sardonic| scornful| derisive| trenchant| mordant| acerbic| pungent| cynical| hudibrastic| mordacious,complimentary| flattering| laudatory| panegyric| eulogistic 
326,sham,a person who pretends to be someone or something they are not,charlatan| quack| mountebank| phoney,genuine| natural| real
327,skirt,be situated along or around the edge of/ avoid dealing with,circumnavigate| fringe| dodge| circumvent,penetrate| enter| interpenetrate 
328,sluggish,"slow moving, lacking energy or alertness",stagnant| lethargic| torpid| languid| enervated| somnolent| indolent,barreling| bolting| breakneck| breathless| brisk| careering
329,spartan,austerity or lack of comfort or luxury/ harsh/ hard/ frugal,austere| frugal| stringent| arduous| ascetic| abstemious| stark,deluxe| Lucullan| luxe| luxurious| plush
330,truculent,eager to argue; aggressively defiant,belligerent| pugnacious| bellicose| obstreperous| sullen| scrappy| feisty,nonaggressive| nonbelligerent| pacific| peaceable| peaceful| unbelligerent
331,acrimonious,angry and bitter,rancorous| scathing| trenchant| virulent| vitriolic| waspish| pernicious| irascible| mordacious,unbitter
332,belligerent,hostile and aggressive,pugnacious| bellicose| truculent| contentious| irascible,nonaggressive| nonbelligerent| pacific| peaceable| peaceful| unbelligerent
333,beneficent,generous and doing good,benevolent| altruistic| magnanimous| munificent| benign| indulgent,atrocious| barbaric| barbarous| bestial| brutal| brute
334,canny,showing shrewdness and good judgment especially in money or business,shrewd| astute| acute| sagacious| circumspect| prudent| savvy,unknowing
335,cavalier,dashing man as a lady's escort/ showing lack of concern,supercilious| haughty| disdainful| scornful| insolent| glib| perfunctory| cursory,humble| lowly| modest| unarrogant| unpretentious
336,distressed,"suffering from extreme anxiety, sorrow or pain",agitated| disturbed| perturbed| troubled| unsettled| restive,restful| calm| easy| peaceful| quiet| relaxing
337,dwindling,"gradually diminishing in size, amount or strength",wane| plummet| wither,aggrandizing| amplifying| augmenting| boosting| enlarging| escalating
338,eclipse,deprive something of significance and power,drawf| trump| transcend,ascent| rise| upswing
339,encyclopedia,comprehensive in terms of information,catalog| cyclopedia| dictionary| book| tome| volume,disencumber| free| disburden 
340,exacerbate,make problems worse,aggravate| inflame| augment,allay| alleviate| assuage| ease| help| mitigate
341,exasperated,intensely irritated and frustrated,exacerbate| infuriate| incense| exacerbate| madden| aggravate,N/A
342,fungible,mutually interchangeable,commutable| exchangeable| interchangeable| substitutable| switchable,noninterchangeable
343,hackneyed,having been overused; unoriginal and trite,platitudinous| vapid| trite| banal| commonplace| prosaic| pedestrian| humdrum,fresh| new| novel| original| unclich??d| unhackneyed
344,incongruous,not in harmony or keeping with surroundings,discordant| dissonant| jarring| extraneous| disparate,appropriate| becoming| befitting| correct| decorous| felicitous
345,interchangeable,apparently identical,parallel| analogous| homogeneous| cognate,noninterchangeable
346,laconic,using very few words,succinct| economical| elliptical| incisive| compendious| gnomic| taciturn| reticent| unforthcoming,circuitous| circumlocutory| diffuse| long-winded| prolix| rambling
347,lucrative,providing a great deal or profit,remunerative| fruitful| advantageous,unprofitable
348,magisterial,"domineering, dictatorial",autocratic| imperious| pompous| lofty| haughty| supercilious| patronizing,submissive| docile| undignified| unimposing| unassuming| modest| 
349,onerous,"involving great deal of effort, trouble, and burdensome",arduous| strenuous| laborious| herculean| gruelling| toilsome| exigent,easy| light| soft
350,opprobrium,harsh criticism or censure,vilification| vituperation| castigation| denunciation| reviling| calumny| execration| excoriation| lambasting,credit| honor
351,parsimonious,very unwilling to spend money or use resources,miserly| penurious| frugal| stingy,bounteous| bountiful| charitable| freehanded| generous| liberal
352,peripheral,"minor importance, marginal",incidental| tangential| superficial| extraneous,chief| main| principal
353,provocative,"causing anger or another strong reaction, especially deliberately/ annoying",exasperating| infuriating| maddening| vexing| galling| incendiary| aggravating,noninflammatory
354,renounce,formally declare one's abandonment,abdicate| abnegate| cede| relinquish| resign| step aside (from),adhere (to)
355,tempestuous,characterized by strong or conflicting emotion,turbulent| tumultuous| feverish| frantic| mercurial| capricious| erratic,nonviolent| peaceable| peaceful
356,tenable,defensible,defensible| justifiable| rational| plausible| credible,indefensible| untenable
357,transgression,act that goes against law,misdemeanour| vice| indiscretion| mischief| wickedness| contravention| infraction,noncrime
358,urbane,courteous and refined in manner,debonair| worldly| glib| gallant| affable| tactful,boorish| churlish| classless| clownish| loutish| uncouth
359,verisimilitude,the appearance of being true or real,literalism| naturalism| realism| representationalism| verismo,improbability| inconsistency| unlikelihood 
360,vitiate,spoil or impair thee quality or efficiency of something,blemish| darken| mar| poison| spoil| stain,doctor| fix| mend| patch| rebuild| recondition
361,affinity,a natural liking for something/ resemblance,empathy| rapport| accord| propinquity,dissimilarity| discordance| disconnection| independence| antagonism| antipathy| 
362,altruistic,selfless,magnanimous| benevolent| beneficent| philanthropic| bounteous,self-centered| self-concerned| selfish
363,baroque,highly ornate and extravagant in style,ostentatious| flamboyant| grandiloquent| rhetorical| bombastic| convoluted| aureate,middling| moderate| modest| reasonable| temperate
364,byzantine,excessively complicated/ characterized by deviousness,baroque| complex| complicate| complicated| convoluted| daedal,noncomplex| noncomplicated| plain| simple| uncomplicated
365,compromise,agreement/ harm by accepting standards that are lower than is desirable/ cause to become vulnerable,undermine| prejudice| jeopardize| endanger| imperil,disproof| counterevidence| refutation| rejoinder| intercontrariance 
366,conciliatory,intended or likely to placate or pacify,placatory| mollifying| reconciliatory| propitiative| placative,antagonizing
367,countenance,facial expression/ support or approval,approbate| brook| endure| visage,agitation| discomposure| perturbation
368,covert,"not openly acknowledged or displayed/secretive, clandestine",furtive| clandestine| surreptitious,open| overt| public
369,credible,"able to be believed, trustworthy",plausible| assuasive| verisimilar| colourable| cogitable,far-fetched| implausible| improbable| incredible| unbelievable| unlikely
370,diffuse,"spread out/ lacking clarity or conciseness, verbose",dispersed| v.ose| prolix| protracted| discursive| maundering| digressive| circumlocutory,compact| concise| crisp| pithy| succinct| terse
371,documentary,"based on official documents or aspects, comprehensive",chronicled| archive| charted| factual,practice| operation| duty| conduct| action 
372,exhaustive,"including all elements or aspects, comprehensive",encyclopedic| profound| umbrella| meticulous| painstaking,N/A
373,exhilarating,"thrilling, making one fell very happy, animated",intoxicate| enliven| animate| invigorate,unexciting
374,extraneous,irrelevant or unrelated to the subject,peripheral| tangential| adventitious| alien,inherent| innate| intrinsic
375,fervor,intense and passionate feeling,ardency| ardor| emotion| enthusiasm| fervency| fervidness,impassiveness| impassivity| insensibility| insensibleness| insensitiveness| insensitivity
376,futile,"fruitless, pointless",vain| thwarted| abortive| sterile| nugatory,deadly| effective| effectual| efficacious| efficient| fruitful
377,illusory,based on illusion,delusory| sham| fallacious| bogus| erroneous| specious| chimerical,authentic| genuine| true| factual| verifiable| verified
378,invidious,"unpleasant, illusion",prejudicial| iniquitous| deleterious| detrimental| unenviable,unenvious
379,lethargic,"sluggish, lazy",inert| torpid| languid| indolent| phlegmatic| apathetic| enervated| somnolent,active
380,metaphorical,figurative,allegorical| analogous| emblematic| imaginative| parabolic,literal 
381,mimic,imitate,imitate| caricature| satirize| lampoon| burlesque| travesty,praise| lead
382,numinous,having strong religious or spiritual quality,magic| magical| mystic| occult| weird,N/A
383,obscure,not discovered or known about/ abstruse,dubious| vague| indeterminate| concealed,accessible| clear| nonambiguous| obvious| plain| unambiguous
384,overt,done or shown openly,unconcealed| apparent| conspicuous| visible| manifest| brazen,incomprehensible| indecipherable| unfathomable| unintelligible| unknowable| impalpable
385,pellucid,"clear, easily understood",translucent| transparent| crystalline| limpid,cloudy| opaque
386,perpetuate,make (something) continue indefinitely,continue| immortalize| commemorate| eternalize,inconstant| periodic| recurrent| temporary| transient| falling| 
387,rational,based on or in accordance with reason or logic,cogent| coherent| sagacious| astute| shrewd| prudent| circumspect| pragmatic,irrational| nonrational| nonthinking| unintelligent| unreasonable| unreasoning
388,scathing,scornful/ harm,withering| mordant| trenchant| virulent| vitriolic| scornful,wounded| injured| damaged 
389,subtle,delicately complex/ making use of clever and indirect methods to achieve something,ingenious| adroit| elusive| abstruse,artless| guileless| ingenuous| innocent| undesigning
390,superficial,appearing to be true but not/ cursory/ not through,cursory| perfunctory| sketchy| desultory| slapdash| slipshod| hasty,deep| profound
391,acquiesce,accept something reluctantly without protest,accede| agree| assent| come round| consent| subscribe,dissent
392,adroit,clever or skillful,artful| bravura| deft| delicate| dexterous| expert,amateur| amateurish| artless| rude| unprofessional| unskillful
393,amend,improve by minor change,ameliorate| better| enhance| enrich| help| improve,worsen
394,animus,hostility or ill feeling/ motivation to do something,animosity| antagonism| antipathy| bad blood| bitterness| enmity,amity
395,apologist,a person who offers an argument in defense of something controversial/ defender,advocate| proponent| exponent| champion| enthusiast,palpable| accepted| authorized| authentic| genuine| current| 
396,astringent,sharp or severe in manner or style/ causing the contraction of skin cells and other body tissues,acerbic| austere| mordant| trenchant| sarcastic| sardonic| scathing| waspish| snarky,sweet| bland| smooth| flat| flavorless| insipid
397,collaborate,work jointly on an activity or project/ corporate,merge| fraternize| conspire| collude| amalgamate| integrate,N/A
398,competent,efficient and capable,proficient| adept| adroit| virtuoso,incompetent| inept| poor| unfit| unfitted| unqualified
399,correlate,"correspond, connect",analogize| harmonize| dovetail| parallel,confirmative| conducive| provocative| stimulative| intensitive 
400,deride,ridicule,disdain| disparage| contemm| vilify| lampoon| satirize,performance| observance| adherence| attention 
401,dictate,an order or principle that must be obeyed/ give orders,edict| ordinance| dictum| exhortation| canon| axiom,follow| repeat| obey| echo| answer 
402,discreet,careful in order to keep something confidential/ intentionally unobtrusive,circumspect| wary| chary| guarded| tactful| prudent,imprudent| indiscreet| injudicious
403,divorced,separate from something typically with an undesirable effect,eparate| disunite| alienate| sunder| dissever,attached| espoused| hitched| married| wedded| mated
404,elitist,demonstrating a superior attitude or behavior associated with an elite,aristocratic| high-hat| persnickety| potty| ritzy| snobbish,insertion| introduction| implantation| augmentation| elongation| inoculation 
405,exacting,demanding/ inflict (revenge) on someone,onerous| arduous| laborious| stringent| inflict| impose| compel,undemanding| unfastidious| unfussy
406,flummoxed,bewildered or perplexed,obfuscate| baffled| bewildered| bamboozle| bemuse| perplex| bemuse| perplex,unpleasant| unacceptable| disagreeable| ungrateful| disobliged 
407,fruitful,"fertile, productive",fecund| abundant| profuse| prolific| progenitive| fructuous| effectual,barren| dead| infertile| sterile| unfertile| unfruitful
408,inborn,"natural to a person, or animal",inborninnate| congenital| ingrained| connate| connatural,adventitious| extraneous| extrinsic
409,polymath,a person of wide knowledge or learning,polyhistor| Renaissance man| Renaissance woman| brain| brainiac| genius,ignoramus| illiterate| know-nothing| lowbrow| anti-intellectual| philistine
410,reticent,"reserved, not revealing one's feelings readily",introverted| inhibited| diffident| shrinking| taciturn,communicative| open
411,stringent,"strict, precise and exacting",rigid| inflexible| draconian| extreme,flexible| lax| loose| relaxed| slack
412,subservient,"prepared to obey others unquestioningly, subordinate",deferential| acquiescent| ductile| pliant| servile| downtrodden| snivelling| cowering| cringing,balky| contrary| contumacious| defiant| disobedient| froward
413,surreptitious,"keep secret, especially because it would not be approved of",clandestine| furtive| covert,open| overt| public
414,tantalizing,torment or teasing with the sight or promise of something unobtainable,entice| titillate| intrigue| allure| beguile| fascinate,boring| irksome| tedious| tiresome| wearisome| abhorrent
415,tantamount,equivalent in seriousness to; virtually the same as,as good as| more or less| on a par with,disparate| distinct| distinguishable| nonequivalent| noninterchangeable| variable
416,torpor,"a state of physical or mental inactivity, lethargy",lethargy| inertia| languor| indolence| apathy| lassitude| enervation,concern| interest| regard
417,trenchant,vigorous or incisive in expression or style,incisive| acute| stinging| mordant| pungent| scathing| acerbic| astringent| sarcastic,blunt| blunted| dull| dulled| obtuse
418,umbrage,offense or annoyance,bridle| get the hump,complacency| satisfaction| gratification 
